Date,News,Situation
"01 Jan, 2020 09:55pm",Federation of Pakistan v Gen Pervez Musharraf: Treason now accountable,Negative
"01 Jan, 2020 08:35pm",Chinese national held for beating traffic police constable in Karachi,Negative
"02 Jan, 2020 10:56am",PSL 2020 set to begin on February 20,Positive
"01 Jan, 2020 03:27pm","Despite extreme differences, Centre willing to work with Sindh to benefit citizens: Asad Umar",Positive
"02 Jan, 2020 12:53pm",UAE Crown Prince to visit Pakistan tomorrow 'to further strengthen bonds of friendship',Positive
"01 Jan, 2020 06:13pm",‘New-year euphoria’ pushes stocks in the green as KSE-100 closes 664 points up,Positive
"01 Jan, 2020 03:17pm",An Islamabad Police parody account is trolling Pakistanis on Twitter,Negative
"01 Jan, 2020 01:00pm",Swat's snowy peaks a winter treat for tourists,Positive
"01 Jan, 2020 11:56am",PIA chief stopped from working after petition challenges his appointment,Negative
"01 Jan, 2020 09:59am",Return of Test cricket overshadows Pakistan’s misfortunes in 2019,Positive
"01 Jan, 2020 08:12am",A Dysfunctional ECP,Negative
"01 Jan, 2020 10:59pm",Judiciary: Treason now accountable,Negative
"01 Jan, 2020 07:49am",Change of rules may end deadlock on ECP slots,Positive
"01 Jan, 2020 08:34am",Rupee suffers hard against all major currencies,Negative
"01 Jan, 2020 08:27am",2019: a good year for gold,Positive
"01 Jan, 2020 08:25am",Six-month revenue collection shortfall rises to Rs287bn,Negative
"01 Jan, 2020 07:35am",Stocks lose 152 points in directionless trade,Negative
"01 Jan, 2020 07:35am",PSX returns to positive territory,Positive
"01 Jan, 2020 08:09am",Govt defends establishment of CPEC Authority,Positive
"01 Jan, 2020 08:36am","WB-funded literacy programme to be launched in Punjab, Sindh",Positive
"01 Jan, 2020 08:42am",Two MPAs of Balochistan Awami Party unseated by election tribunal,Negative
"01 Jan, 2020 01:30pm","Price of petrol raised by Rs2.61 per litre, kerosene by Rs3.10",Negative
"01 Jan, 2020 07:57am",Nadra sets up desks to register transgender persons for health cards,Positive
"01 Jan, 2020 09:03am",Karachi witnessed decrease in terrorism incidents in 2019,Positive
"01 Jan, 2020 09:07am",Building collapse probe to identify negligent SBCA officials begins,Negative
"01 Jan, 2020 09:48am",A tough year for Pakistan Railways: 2019 marred by over 100 accidents,Negative
"01 Jan, 2020 09:22am","Quota for tribal dists, Balochistan students increased in medical colleges",Positive
"01 Jan, 2020 09:25am","Crime App, alert button to help complainants in police stations in Rawalpindi",Positive
"02 Jan, 2020 08:53pm",NAB prosecutor in two references against Zardari resigns citing personal reasons,Negative
"02 Jan, 2020 07:35pm",Decision to amend NAB law made in the interest of the country: PM Imran,Positive
"02 Jan, 2020 10:48pm","3 killed, several feared trapped as multi-storey building collapses in Sukkur",Negative
"02 Jan, 2020 07:10pm","Stocks continue to soar for second consecutive day as mutual funds, banks spring into action",Negative
"02 Jan, 2020 05:49pm","Abu Dhabi crown prince, PM Imran discuss 'ways to enhance bilateral ties'",Positive
"03 Jan, 2020 07:53am",Pakistan rejects new Indian army chief’s ‘irresponsible statement on pre-emptive strikes across LoC’,Positive
"02 Jan, 2020 07:48am",Editorial: Pakistan is making steady progress out of the grip of militancy,Positive
"02 Jan, 2020 07:37am",2019 is likely to go down in history as a wasted year in terms of democratic development,Negative
"02 Jan, 2020 07:36am",2020: The year of political and economic stability,Positive
"02 Jan, 2020 09:56am",Security forces release eight Khyber tribesmen after talks with jirga,Positive
"02 Jan, 2020 09:13am","16 govt bills, 40 resolutions passed by Sindh Assembly in 2019",Positive
"02 Jan, 2020 09:07am","12 hurt in New Year jubilation firing, 15 suspects held",Negative
"02 Jan, 2020 09:11am",Punjab govt to work with experts to fight natural calamities,Positive
"02 Jan, 2020 08:30am",Taliban attacks leave 26 security personnel dead,Negative
"02 Jan, 2020 08:39am",Profit outflow rises to $600m,Negative
"02 Jan, 2020 08:28am",Inflation clocks in at 12.63pc in December,Negative
