Date,Open,High,Low,Close,Volume,Trend,Future Trend
28-Feb-20,"26,310.00","26,519.47","26,181.00","26,289.38","202,177,240",20.62,
27-Feb-20,"26,551.00","26,687.95","25,780.38","26,396.96","249,243,030",154.04,
26-Feb-20,"26,976.00","27,070.75","26,560.92","26,687.95","147,943,160",288.05,
25-Feb-20,"27,202.00","27,321.33","26,851.06","27,018.98","124,348,120",183.02,
24-Feb-20,"27,845.00","27,895.15","27,200.92","27,248.30","144,282,360",596.7,
21-Feb-20,"28,025.00","28,039.38","27,856.26","27,895.15","85,597,900",129.85,
20-Feb-20,"28,089.00","28,132.98","27,989.14","28,018.02","112,084,380",70.98,
19-Feb-20,"27,839.00","28,108.02","27,807.11","28,063.84","142,964,390",-224.84,
18-Feb-20,"28,039.00","28,141.44","27,758.54","27,807.10","91,643,590",231.9,
17-Feb-20,"28,049.00","28,130.89","27,900.27","28,002.69","99,813,272",46.31,
14-Feb-20,"28,299.00","28,330.57","27,917.81","28,015.75","117,597,500",283.25,
13-Feb-20,"28,349.00","28,468.96","28,191.97","28,256.09","197,307,008",92.91,
12-Feb-20,"27,929.00","28,384.45","27,865.16","28,309.35","180,327,770",-380.35,
11-Feb-20,"27,601.00","28,017.17","27,492.28","27,865.16","161,527,860",-264.16,
10-Feb-20,"28,016.00","28,053.71","27,470.38","27,520.35","180,766,520",495.65,
7-Feb-20,"28,410.00","28,458.75","27,983.62","28,042.82","193,536,140",367.18,
6-Feb-20,"28,529.00","28,633.74","28,375.60","28,398.38","127,803,640",130.62,
4-Feb-20,"28,401.00","28,506.86","28,245.23","28,493.84","146,091,910",-92.84,
3-Feb-20,"28,951.00","29,067.54","28,246.97","28,315.61","203,139,320",635.39,
31-Jan-20,"29,145.00","29,257.79","28,945.19","29,067.54","193,866,160",77.46,
30-Jan-20,"29,121.00","29,181.59","28,969.60","29,123.53","162,237,910",-2.53,
29-Jan-20,"29,361.00","29,446.90","29,083.61","29,135.35","197,137,000",225.65,
28-Jan-20,"29,441.00","29,462.59","29,230.53","29,345.90","189,002,866",95.1,
27-Jan-20,"29,502.00","29,594.55","29,431.95","29,462.60","198,479,790",39.4,
24-Jan-20,"29,499.00","29,585.39","29,318.90","29,529.89","173,043,120",-30.89,
23-Jan-20,"29,629.00","29,759.68","29,409.24","29,456.52","230,827,150",172.48,
22-Jan-20,"29,702.00","29,754.25","29,308.76","29,561.63","177,984,850",140.37,
21-Jan-20,"29,839.00","29,928.72","29,621.78","29,735.95","177,567,170",103.05,
20-Jan-20,"30,029.00","30,089.73","29,734.95","29,808.60","173,897,330",220.4,
17-Jan-20,"29,945.00","30,037.83","29,914.46","29,998.45","211,406,865",-53.45,
16-Jan-20,"29,929.00","30,007.53","29,779.46","29,914.47","229,862,940",14.53,
15-Jan-20,"29,951.00","29,999.17","29,799.04","29,892.79","171,256,950",58.21,
14-Jan-20,"30,074.00","30,150.96","29,932.22","29,973.44","249,669,660",100.56,
13-Jan-20,"30,099.00","30,194.74","29,901.75","30,020.98","366,135,385",78.02,
10-Jan-20,"29,729.00","30,070.99","29,654.66","30,058.45","400,084,930",-329.45,
9-Jan-20,"29,269.00","29,667.92","29,010.85","29,654.66","362,490,340",-385.66,
8-Jan-20,"29,301.00","29,375.75","28,882.75","29,010.85","280,071,600",290.15,
7-Jan-20,"29,269.00","29,393.74","29,072.69","29,375.75","206,892,240",-106.75,
6-Jan-20,"29,601.00","29,774.00","29,101.65","29,145.52","266,633,470",455.48,
3-Jan-20,"29,929.00","30,053.64","29,665.65","29,774.00","322,885,280",155,
2-Jan-20,"29,321.00","29,907.23","29,279.97","29,872.97","412,354,330",-551.97,
1-Jan-20,"29,074.00","29,340.07","29,011.73","29,279.97","330,740,610",-205.97,
